desc,carbs,fat,fiber,protein,pps
"Burger King BK Breakfast Muffin Sandwich w/ Ham, Egg, and Cheese",23.00,9.00,1.00,18.00,6.40
Burger King BK Breakfast Muffin Sandwich w/ Sausage and Cheese,23.00,20.00,1.00,14.00,8.90
"Burger King BK Breakfast Muffin Sandwich w/ Sausage, Egg, and Cheese",23.00,23.00,1.00,20.00,10.20
Burger King Bk Ultimate Breakfast Platter,134.00,84.00,5.00,40.00,39.50
Burger King Double Bacon Breakfast Sourdough King,46.00,24.00,2.00,27.00,13.50
Burger King Double Ham Breakfast Sourdough King,48.00,22.00,2.00,34.00,13.90
Burger King Double Sausage Breakfast Sourdough King,47.00,50.00,2.00,38.00,21.30
Burger King Cini-minis,66.00,14.00,2.00,7.00,11.30
Burger King Cinnabon Roll,45.00,11.00,2.00,6.00,8.10
Burger King Country Ham and Egg Biscuit,32.00,23.00,1.00,18.00,11.00
"Burger King CROISSAN'WICH Bacon, Egg & Cheese",26.00,22.00,0.00,15.00,9.90
Burger King CROISSAN'WICH Egg & Cheese,26.00,16.00,0.00,11.00,8.00
"Burger King CROISSAN'WICH Ham, Egg & Cheese",27.00,17.00,0.00,18.00,9.00
Burger King CROISSAN'WICH Sausage & Cheese,26.00,24.00,0.00,14.00,10.30
"Burger King CROISSAN'WICH Sausage, Egg & Cheese",27.00,31.00,0.00,18.00,12.60
"Burger King DOUBLE CROISSAN'WICH w/ Bacon, Egg, & Cheese",27.00,31.00,0.00,22.00,12.90
"Burger King DOUBLE CROISSAN'WICH w/ Ham, Bacon, Egg, & Cheese",27.00,26.00,0.00,24.00,11.90
"Burger King DOUBLE CROISSAN'WICH w/ Ham, Egg, & Cheese",27.00,19.00,1.00,26.00,10.20
"Burger King DOUBLE CROISSAN'WICH w/ Ham, Sausage, Egg, & Cheese",28.00,35.00,0.00,28.00,14.60
"Burger King DOUBLE CROISSAN'WICH w/ Sausage, Bacon, Egg, & Cheese",28.00,37.00,0.00,24.00,14.80
"Burger King DOUBLE CROISSAN'WICH w/ Sausage, Egg, & Cheese",29.00,49.00,0.00,29.00,18.40
Burger King Egg-normous Burrito,73.00,55.00,6.00,33.00,24.70
Burger King 3 Piece French Toast Sticks,29.00,11.00,1.00,3.00,6.20
Burger King 5 Piece French Toast Sticks,49.00,18.00,2.00,5.00,10.30
Burger King Fully Loaded CROISSAN'WICH®,32.00,37.00,1.00,27.00,15.40
"Burger King Ham, Egg, & Cheese Biscuit",33.00,22.00,1.00,16.00,10.70
Burger King Small Hash Browns,24.00,16.00,3.00,2.00,6.70
Burger King Medium Hash Browns,48.00,33.00,7.00,4.00,13.50
Burger King Large Hash Browns,65.00,44.00,9.00,5.00,18.10
Burger King Kids Oatmeal,32.00,4.00,3.00,4.00,4.70
Burger King King CROISSAN'WICH®,31.00,51.00,1.00,25.00,18.70
Burger King King CROISSAN'WICH® w/ Ham & Sausage,31.00,34.00,1.00,23.00,14.20
Burger King King CROISSAN'WICH® w/ Sausage and Bacon,31.00,38.00,1.00,23.00,15.20
Burger King Otis Spunkmeyer® Cinnamon Roll,41.00,11.00,2.00,4.00,7.50
Burger King Pancake Platter w/ Sausage & 1 oz Breakfast Syrup,78.00,34.00,1.00,14.00,18.50
Burger King Pancakes (3) and 1 oz breakfast syrup,77.00,19.00,1.00,7.00,13.90
Burger King Original Quaker Oatmeal,23.00,4.00,3.00,5.00,3.80
Burger King Maple and Brown Sugar Flavor Quaker Oatmeal,55.00,4.00,5.00,5.00,7.10
Burger King Sausage Biscuit,32.00,27.00,1.00,13.00,11.60
Burger King Sausage Breakfast Burrito,21.00,17.00,1.00,14.00,7.90
"Burger King Sausage, Egg, & Cheese Biscuit",34.00,37.00,1.00,20.00,15.00
Burger King Southwestern Breakfast Burrito,42.00,35.00,4.00,23.00,15.40
Burger King Bacon Cheddar Ranch Crispy Chicken Sandwich,57.00,52.00,,34.00,22.70
Burger King BBQ Bacon Crispy Chicken Sandwich,44.00,27.00,,7.00,12.40
Burger King Big Fish Sandwich,54.00,27.00,2.00,17.00,14.30
Burger King BK VEGGIE Burger,44.00,16.00,7.00,22.00,10.40
Burger King Cheesy Bacon Crispy Chicken Sandwich,59.00,32.00,2.00,31.00,17.40
Burger King Chicken Burger,42.00,25.00,2.00,22.00,12.90
Burger King Chicken Cordon Bleu Sandwich,63.00,39.00,,32.00,19.90
Burger King Chicken Fries,18.00,17.00,1.00,16.00,7.70
Burger King 4 Piece Chicken Nuggets,10.00,11.00,1.00,10.00,4.80
Burger King 6 Piece Chicken Nuggets,15.00,17.00,1.00,15.00,7.30
Burger King 20 Piece Chicken Nuggets,50.00,55.00,5.00,51.00,23.90
Burger King Chicken Nuggets (10pc),34.00,29.00,5.00,21.00,12.70
Burger King Chicken Parmesan Sandwich,57.00,25.00,,32.00,15.60
Burger King Crispy Buffalo Chicken Melt,56.00,28.00,,30.00,16.10
Burger King Crispy Chicken Jr.,34.00,28.00,2.00,12.00,11.90
Burger King Crispy Chicken Sandwich,54.00,41.00,2.00,23.00,18.40
Burger King 2 Piece Crispy Chicken Tenders,30.00,18.00,1.00,18.00,9.50
Burger King 3 Piece Crispy Chicken Tenders,41.00,24.00,2.00,27.00,13.00
Burger King 4 Piece Crispy Chicken Tenders,52.00,31.00,2.00,36.00,16.80
Burger King Grilled Chicken Sandwich,39.00,19.00,2.00,37.00,12.40
Burger King Grilled Chili Cheese Dog,28.00,19.00,2.00,14.00,9.10
Burger King Grilled Hot Dog,32.00,16.00,2.00,11.00,8.50
Burger King Jalapeno Chicken Fries,19.00,18.00,1.00,15.00,8.00
Burger King Original Chicken Sandwich,46.00,39.00,3.00,24.00,17.00
Burger King Pretzel Chicken Fries,21.00,21.00,1.00,16.00,9.10
Burger King Rodeo Crispy Chicken Sandwich,53.00,17.00,2.00,12.00,11.10
Burger King Sourdough Chicken Club,62.00,51.00,3.00,32.00,22.60
Burger King 4 Piece Spicy Chicken Nuggets,11.00,15.00,2.00,8.00,5.60
Burger King Spicy Chicken Nuggets,28.00,37.00,,20.00,14.40
Burger King Spicy Crispy Chicken Jr.,35.00,25.00,2.00,12.00,11.20
Burger King Spicy Crispy Chicken Sandwich,57.00,42.00,3.00,25.00,19.10
Burger King Spicy Crispy Jalapeno Chicken Sandwich,58.00,45.00,3.00,32.00,20.60
Burger King BK Caramel Frappe,72.00,22.00,0.00,4.00,13.90
Burger King BK Mocha Frappe,72.00,22.00,0.00,4.00,13.90
Burger King Regular Iced Coffee,19.00,7.00,0.00,0.00,3.90
Burger King Caramel Iced Coffee,23.00,7.00,0.00,0.00,4.30
Burger King Vanilla Iced Coffee,24.00,7.00,0.00,0.00,4.40
Burger King Regular Latte,31.00,6.00,0.00,3.00,5.20
Burger King Mocha Latte,42.00,4.00,0.00,2.00,5.80
Burger King Vanilla Latte,67.00,6.00,0.00,3.00,9.20
Burger King Caramel Latte,66.00,6.00,0.00,3.00,9.10
Burger King Regular Nonfat Latte,31.00,0.00,0.00,6.00,4.00
Burger King Mocha Nonfat Latte,41.00,0.00,0.00,3.00,4.80
Burger King Caramel Nonfat Latte,66.00,0.00,0.00,6.00,7.80
Burger King Vanilla Nonfat Latte,67.00,0.00,0.00,6.00,7.90
Burger King Seattle's Best Coffee® - Decaf,0.00,0.00,0.00,0.00,0.00
Burger King Seattle's Best Coffee® - Regular,0.00,0.00,0.00,0.00,0.00
Burger King Blue Raspberry ICEE,32.00,0.00,0.00,0.00,3.50
Burger King Butter Sugar Cookie,22.00,7.00,0.00,2.00,4.40
Burger King Caramel Ice Cream Sundae,52.00,6.00,0.00,5.00,7.70
Burger King Carnival Cookie,22.00,7.00,1.00,2.00,4.30
Burger King Chocolate Chip Cookies (2),47.00,15.00,1.00,3.00,9.20
Burger King Chocolate Fudge Ice Cream Sundae,50.00,7.00,1.00,6.00,7.80
Burger King Cinnamon Toast Crunch Shake,137.00,19.00,,16.00,21.40
Burger King Small Dr Pepper® Shake,52.00,10.00,0.00,8.00,9.00
Burger King Medium Dr Pepper® Shake,73.00,13.00,0.00,11.00,12.40
Burger King Large Dr Pepper® Shake,90.00,16.00,0.00,14.00,15.30
Burger King Dutch Apple Pie,46.00,14.00,1.00,2.00,8.70
Burger King Froot Loops Shake,126.00,17.00,,16.00,19.70
Burger King Ginger Spice Cookie,25.00,5.00,1.00,2.00,4.10
Burger King HERSHEY'S Ice Cream Sundae Pie,31.00,18.00,1.00,3.00,8.20
Burger King Small Irish Mint Oreo® Shake,72.00,13.00,0.00,9.00,12.10
Burger King Medium Irish Mint Oreo® Shake,103.00,17.00,1.00,12.00,16.70
Burger King Large Irish Mint Oreo® Shake,132.00,21.00,1.00,15.00,21.20
Burger King Lucky Charms Shake,129.00,17.00,,17.00,20.10
Burger King Oatmeal Raisin Cookies (2),46.00,13.00,3.00,4.00,8.50
Burger King Oreo Peppermint Shake,133.00,20.00,0.00,16.00,21.20
Burger King Oreo Shake,93.00,18.00,1.00,9.00,15.60
Burger King Small Red Velvet Oreo® Shake,75.00,13.00,1.00,9.00,12.30
Burger King Medium Red Velvet Oreo® Shake,108.00,17.00,1.00,12.00,17.20
Burger King Large Red Velvet Oreo® Shake,138.00,21.00,1.00,15.00,21.80
"Burger King Red, White & Blue Cookie",23.00,6.00,0.00,1.00,4.20
Burger King Reese's Peanut Butter Cup Pie,31.00,19.00,2.00,5.00,8.60
Burger King Salted Caramel Shake,126.00,17.00,0.00,15.00,19.60
Burger King Snickers Pie,36.00,16.00,1.00,4.00,8.30
Burger King Soft Serve Ice Cream Cone,27.00,4.00,0.00,4.00,4.40
Burger King Soft Serve Ice Cream Cup,23.00,4.00,0.00,4.00,3.90
Burger King Strawberry Ice Cream Sundae,35.00,4.00,0.00,4.00,5.20
Burger King White Chocolate Macadamia Nut Cookies (2),44.00,18.00,0.00,4.00,9.80
Burger King American Cheese (slice),1.00,4.00,0.00,2.00,1.30
Burger King Barbecue Dipping Sauce (1 oz),11.00,0.00,0.00,0.00,1.20
Burger King Breakfast Syrup (1 oz),30.00,0.00,0.00,0.00,3.30
Burger King Buffalo Dipping Sauce (1 oz),2.00,8.00,0.00,0.00,2.30
Burger King Dried Fruit Topping,23.00,0.00,2.00,1.00,2.50
Burger King Garlic Parmesan Croutons,9.00,2.00,0.00,1.00,1.60
Burger King Honey Mustard Dipping Sauce (1 oz),8.00,6.00,0.00,0.00,2.40
Burger King Ken's Apple Cider Vinaigrette,10.00,18.00,0.00,0.00,5.70
Burger King Ken's Avocado Ranch Dressing,4.00,17.00,0.00,1.00,4.90
Burger King Ken's Citrus Caesar Dressing,4.00,18.00,0.00,2.00,5.20
Burger King KEN'S Honey Mustard Dressing (2 oz),15.00,23.00,0.00,1.00,7.60
Burger King Ken's Lite Honey Balsamic,14.00,7.00,0.00,0.00,3.30
Burger King Ketchup,3.00,0.00,0.00,0.00,0.30
Burger King Mayonnaise,1.00,9.00,0.00,0.00,2.40
Burger King Pickles (2),0.00,0.00,0.00,0.00,0.00
Burger King Ranch Dipping Sauce (1 oz),1.00,15.00,0.00,1.00,4.00
Burger King Strawberry or Grape Jam (packet),7.00,0.00,0.00,0.00,0.80
Burger King SunGlow Butter blend - 2 pats,0.00,8.00,0.00,0.00,2.10
Burger King Thick cut bacon,0.00,6.00,0.00,4.00,1.90
Burger King Zesty Onion Ring Dipping Sauce (1 oz),3.00,15.00,1.00,0.00,4.10
Burger King BK Fresh Apple Slices,6.00,0.00,1.00,0.00,0.60
Burger King Cheesy Tots,34.00,15.00,3.00,9.00,8.20
Burger King Flamin' Hot Mac n' Cheetos,40.00,22.00,,9.00,10.90
Burger King Value French Fries,34.00,10.00,3.00,2.00,6.20
Burger King Small French Fries,49.00,15.00,4.00,4.00,9.30
Burger King Medium French Fries,58.00,18.00,4.00,4.00,11.00
Burger King Large French Fries,72.00,22.00,5.00,5.00,13.60
Burger King Mac 'n Cheetos,37.00,13.00,2.00,9.00,8.10
Burger King Motts' Harvest Plus Applesauce,13.00,0.00,1.00,0.00,1.30
Burger King Mozzarella Sticks (4 pc),24.00,15.00,2.00,11.00,7.30
Burger King Value Onion Rings,19.00,8.00,1.00,1.00,4.10
Burger King Small Onion Rings,41.00,16.00,3.00,3.00,8.60
Burger King Medium Onion Rings,53.00,21.00,4.00,4.00,11.20
Burger King Large Onion Rings,64.00,25.00,5.00,5.00,13.50
Burger King Value Satisfries French Fries,28.00,8.00,2.00,2.00,5.10
Burger King Small Satisfries French Fries,41.00,11.00,3.00,4.00,7.40
Burger King Medium Satisfries French Fries,51.00,14.00,4.00,4.00,9.20
Burger King Large Satisfries French Fries,62.00,17.00,5.00,5.00,11.20
Chipotle Barbacoa Burrito,46.00,16.00,2.00,31.00,11.90
Chipotle Carnitas Burrito,45.00,17.00,2.00,34.00,12.30
Chipotle Chicken Burrito,45.00,16.00,2.00,39.00,12.50
Chipotle Sofritas Burrito,55.00,20.00,7.00,15.00,12.00
Chipotle Steak Burrito,46.00,16.00,2.00,37.00,12.40
Chipotle Patron Margarita,25.00,0.00,0.00,0.00,2.70
Chipotle Sauza Margarita,25.00,0.00,0.00,0.00,2.70
Chipotle Barbacoa Burrito Bowl,2.00,7.00,0.00,24.00,4.20
Chipotle Carnitas Burrito Bowl,1.00,8.00,0.00,27.00,4.70
Chipotle Chicken Burrito Bowl,1.00,7.00,0.00,32.00,4.90
Chipotle Sofritas Burrito Bowl,9.00,10.00,4.00,8.00,4.00
Chipotle Steak Burrito Bowl,2.00,7.00,0.00,30.00,4.80
Chipotle Black Beans,23.00,1.00,11.00,7.00,2.50
Chipotle Brown Rice,31.00,4.00,2.00,3.00,4.50
Chipotle Cheese,0.00,9.00,0.00,8.00,3.00
Chipotle Corn Salsa,15.00,2.00,3.00,3.00,2.20
Chipotle Fajita Veggies,4.00,1.00,1.00,1.00,0.70
Chipotle Green Tomatillo Salsa,3.00,0.00,1.00,1.00,0.30
Chipotle Guacamole,8.00,13.00,6.00,2.00,3.90
Chipotle Lettuce,2.00,0.00,1.00,1.00,0.20
Chipotle Pinto Beans,22.00,1.00,10.00,7.00,2.50
Chipotle Queso,4.00,8.00,1.00,6.00,3.00
Chipotle Red Tomatillo Salsa,8.00,1.00,4.00,2.00,1.00
Chipotle Sour Cream,2.00,10.00,0.00,2.00,3.00
Chipotle Tomato Salsa,4.00,0.00,0.00,1.00,0.50
Chipotle Vinaigrette Dressing,12.00,25.00,1.00,0.00,7.60
Chipotle White Rice,31.00,4.00,0.00,3.00,4.70
Chipotle Double Protein Salad Bowl,71.00,27.50,11.00,68.00,20.20
Chipotle Keto Salad Bowl,14.00,42.00,8.00,31.00,14.50
Chipotle Paleo Salad Bowl,19.00,29.00,8.00,27.00,11.40
Chipotle Whole30 Salad Bowl,18.00,34.00,9.00,26.00,12.40
Chipotle Salad w/ Barbacoa,4.00,7.00,1.00,25.00,4.50
Chipotle Salad w/ Carnitas,3.00,8.00,1.00,28.00,4.90
Chipotle Salad w/ Chicken,3.00,7.00,1.00,33.00,5.10
Chipotle Salad w/ Sofritas,11.00,10.00,5.00,9.00,4.20
Chipotle Salad w/ Steak,4.00,7.00,1.00,31.00,5.00
Chipotle Barbacoa Tacos w/ Crispy Corn Tortilla,29.00,13.00,3.00,27.00,8.80
Chipotle Barbacoa Tacos w/ Soft Flour Tortilla,41.00,15.00,3.00,30.00,10.90
Chipotle Carnitas Tacos w/ Crispy Corn Tortilla,28.00,14.00,3.00,30.00,9.20
Chipotle Carnitas Tacos w/ Soft Flour Tortilla,40.00,16.00,3.00,33.00,11.30
Chipotle Chicken Tacos w/ Crispy Corn Tortilla,28.00,13.00,3.00,35.00,9.40
Chipotle Chicken Tacos w/ Soft Flour Tortilla,40.00,14.00,3.00,38.00,11.30
Chipotle Sofritas Tacos w/ Crispy Corn Tortilla,39.00,18.00,10.00,11.00,9.10
Chipotle Sofritas Tacos w/ Soft Flour Tortilla,48.00,18.00,7.00,14.00,10.60
Chipotle Steak Tacos w/ Crispy Corn Tortilla,29.00,13.00,3.00,33.00,9.30
Chipotle Steak Tacos w/ Soft Flour Tortilla,41.00,14.00,3.00,36.00,11.20
Chipotle Chips,73.00,27.00,8.00,8.00,15.00
Chipotle Chips & Fresh Tomato Salsa,77.00,27.00,8.00,9.00,15.50
Chipotle Chips & Guacamole,81.00,40.00,14.00,10.00,18.90
Chipotle Chips & Queso,82.00,41.00,8.00,20.00,20.70
Chipotle Chips & Roasted Chili-Corn Salsa,88.00,29.00,11.00,11.00,17.20
Chipotle Chips & Tomatillo-Green Chili Salsa,76.00,27.00,9.00,9.00,15.40
Chipotle Chips & Tomatillo-Red Chili Salsa,81.00,28.00,12.00,10.00,16.00
Dunkin Cinnamon Raisin Bagel,66.00,1.00,4.00,12.00,8.30
Dunkin Everything Bagel,67.00,3.00,5.00,12.00,8.80
Dunkin Multigrain Bagel,63.00,7.00,8.00,15.00,9.40
Dunkin Plain Bagel,64.00,1.00,4.00,11.00,8.00
Dunkin Sesame Bagel,65.00,5.00,5.00,12.00,9.10
Dunkin White Cheddar Bagel Twist,64.00,8.00,4.00,16.00,10.20
Dunkin Apple Fritter,58.00,19.00,2.00,6.00,11.60
Dunkin Biscuit,35.00,17.00,1.00,6.00,8.70
Dunkin Blueberry Coffee Cake,31.00,6.00,1.00,3.00,5.10
Dunkin Original Coffee Cake,33.00,9.00,1.00,3.00,6.10
Dunkin Chocolate Chip Coffee Cake,34.00,9.00,1.00,3.00,6.20
Dunkin Strawberry Cheese Danish,52.00,19.00,1.00,5.00,11.00
Dunkin Apple Cheese Danish,53.00,19.00,1.00,5.00,11.10
Dunkin Cheese Danish,52.00,21.00,1.00,5.00,11.50
Dunkin Donut Fries,22.00,14.00,1.00,4.00,6.30
Dunkin English Muffin,30.00,1.00,6.00,4.00,3.40
Dunkin Flatbread,29.00,3.00,3.00,5.00,4.20
Dunkin French Roll,52.00,2.00,2.00,9.00,6.90
Dunkin Reduced Fat Blueberry Muffin,75.00,10.00,2.00,7.00,11.30
Dunkin Honey Bran Raisin Muffin,74.00,13.00,4.00,7.00,11.80
Dunkin Blueberry Muffin,76.00,15.00,2.00,6.00,12.60
Dunkin Corn Muffin,72.00,16.00,1.00,7.00,12.60
Dunkin Chocolate Chip Muffin,83.00,21.00,2.00,7.00,15.00
Dunkin Triple Chocolate Muffin,72.00,29.00,2.00,7.00,15.80
Dunkin Coffee Cake Muffin,87.00,24.00,2.00,7.00,16.20
Dunkin Oatmeal Raisin Cookie,36.00,7.00,2.00,3.00,5.90
Dunkin Plain Croissant,37.00,18.00,1.00,6.00,9.10
Dunkin Triple Chocolate Cookie,34.00,12.00,1.00,3.00,7.00
Dunkin Warm Chocolate Chip Cookie,36.00,11.00,1.00,3.00,7.00
Dunkin All You Can Meat Breakfast Sandwich,42.00,56.00,1.00,31.00,21.80
Dunkin All You Can Meat Wake-Up Wrap,15.00,23.00,1.00,15.00,8.90
Dunkin Angus Steak and Egg Sandwich,67.00,26.00,5.00,34.00,16.80
Dunkin Bacon Egg & Cheese Sandwich on English Muffin,32.00,18.00,7.00,16.00,9.00
Dunkin Bacon Egg & Cheese Sandwich on Bagel,67.00,18.00,5.00,23.00,13.70
Dunkin Bacon Egg & Cheese Sandwich on Biscuit,38.00,34.00,2.00,18.00,14.40
Dunkin Bacon Egg & Cheese Sandwich on Croissant,40.00,35.00,2.00,19.00,15.00
"Dunkin Bacon, Egg & Cheese Wake-Up Wrap",14.00,13.00,1.00,10.00,5.70
Dunkin Big n Toasted,44.00,43.00,2.00,29.00,18.40
Dunkin Egg & Cheese Wake-Up Wrap,13.00,11.00,1.00,8.00,4.90
Dunkin Egg and Cheese Sandwich English Muffin,32.00,13.00,7.00,13.00,7.50
Dunkin Egg and Cheese Sandwich on Bagel,67.00,14.00,5.00,20.00,12.40
Dunkin Egg and Cheese Sandwich on Biscuit,37.00,30.00,2.00,14.00,12.90
Dunkin Egg and Cheese Sandwich on Croissant,40.00,31.00,2.00,15.00,13.60
Dunkin Egg White Flatbread,33.00,13.00,4.00,17.00,8.20
Dunkin Egg White Veggie Wake-Up Wrap,14.00,11.00,1.00,11.00,5.30
Dunkin Ham Egg and Cheese Sandwich on English Muffin,32.00,14.00,7.00,17.00,8.10
Dunkin Ham Egg and Cheese Sandwich on Bagel,67.00,15.00,5.00,24.00,13.00
Dunkin Ham Egg and Cheese Sandwich on Biscuit,38.00,31.00,2.00,19.00,13.70
Dunkin Ham Egg and Cheese Sandwich on Croissant,40.00,32.00,2.00,20.00,14.30
"Dunkin Ham, Egg & Cheese Wake-Up Wrap",14.00,11.00,1.00,10.00,5.20
Dunkin Hash Browns,17.00,8.00,2.00,2.00,3.90
Dunkin Holiday Spice Bacon Wake-Up Wrap,19.00,14.00,1.00,9.00,6.40
Dunkin Holiday Spice Veggie Bacon Breakfast Sandwich,55.00,39.00,3.00,18.00,17.50
Dunkin Multigrain Brown Sugar Oatmeal with Dried Fruit Topping,66.00,2.00,5.00,5.00,7.80
Dunkin Sausage Egg and Cheese Sandwich on English Muffin,33.00,33.00,7.00,21.00,13.50
Dunkin Sausage Egg and Cheese Sandwich on Bagel,67.00,33.00,5.00,28.00,18.00
Dunkin Sausage Egg and Cheese Sandwich on Biscuit,38.00,49.00,2.00,23.00,18.70
Dunkin Sausage Egg and Cheese Sandwich on Croissant,41.00,50.00,2.00,23.00,19.30
"Dunkin Sausage, Egg & Cheese Wake-Up Wrap",14.00,20.00,1.00,12.00,7.70
Dunkin Sweet Black Pepper Bacon Wake-Up Wrap,16.00,15.00,1.00,12.00,6.60
Dunkin Turkey Sausage Wake-Up Wrap,13.00,18.00,1.00,15.00,7.30
Dunkin Veggie Bacon and Veggie Sausage Croissant Sandwich,46.00,37.00,3.00,25.00,16.60
Dunkin Veggie Bacon and Veggie Sausage Wake-Up Wrap,17.00,13.00,1.00,12.00,6.20
Dunkin Apple Crumb Donut,42.00,15.00,1.00,3.00,8.60
Dunkin Apple n Spice Donut,29.00,14.00,1.00,3.00,7.00
Dunkin Apple Stick,44.00,25.00,1.00,4.00,11.50
Dunkin Bavarian Creme Donut,31.00,15.00,1.00,4.00,7.50
Dunkin Bismark,62.00,25.00,1.00,5.00,13.60
Dunkin Boston Kreme Donut,37.00,16.00,1.00,3.00,8.40
Dunkin Butternut Donut,55.00,20.00,1.00,4.00,11.40
Dunkin Caramel Chocoholic Donut,47.00,22.00,2.00,4.00,11.00
Dunkin Chocolate Butternut Donut,54.00,20.00,2.00,4.00,11.30
Dunkin Chocolate Coconut Donut,45.00,23.00,2.00,4.00,11.00
Dunkin Chocolate Creme Donut,35.00,19.00,1.00,4.00,9.00
Dunkin Chocolate Dipped French Cruller,33.00,19.00,0.00,3.00,8.80
Dunkin Chocolate Frosted Cake Donut,40.00,19.00,1.00,4.00,9.50
Dunkin Chocolate Frosted Donut,31.00,15.00,1.00,3.00,7.40
Dunkin Chocolate Frosted Donut with Sprinkles,34.00,16.00,1.00,3.00,8.00
Dunkin Chocolate Headlight Donut,39.00,18.00,1.00,4.00,9.20
Dunkin Chocolate Long John,42.00,17.00,2.00,5.00,9.30
Dunkin Cinnamon Donut,32.00,19.00,1.00,4.00,8.70
Dunkin Cinnamon Stick,35.00,25.00,1.00,4.00,10.50
Dunkin Coconut Donut,46.00,22.00,2.00,4.00,10.90
Dunkin Coffee Roll,51.00,18.00,2.00,7.00,10.70
Dunkin Dear Santa Donut,43.00,19.00,1.00,4.00,9.90
Dunkin Double Chocolate Donut,39.00,20.00,2.00,4.00,9.60
Dunkin Eclair,50.00,18.00,2.00,5.00,10.40
Dunkin French Cruller,21.00,18.00,0.00,2.00,7.10
Dunkin Frosted Vanilla Creme Donut,43.00,20.00,1.00,3.00,10.00
Dunkin Glazed Blueberry Donut,43.00,16.00,1.00,4.00,9.10
Dunkin Glazed Chocolate Donut,38.00,19.00,1.00,3.00,9.20
Dunkin Glazed Chocolate Stick,42.00,25.00,2.00,4.00,11.20
Dunkin Glazed Donut,31.00,14.00,1.00,3.00,7.20
Dunkin Glazed Jelly Donut,43.00,14.00,1.00,3.00,8.50
Dunkin Glazed Jelly Stick,59.00,25.00,1.00,4.00,13.20
Dunkin Glazed Lemon Donut,39.00,15.00,1.00,3.00,8.30
Dunkin Glazed Old Fashioned Donut,39.00,19.00,1.00,4.00,9.40
Dunkin Glazed Stick,43.00,25.00,1.00,4.00,11.40
Dunkin Glazed Strawberry Donut,45.00,14.00,1.00,3.00,8.70
Dunkin Hershey's Kisses Donut,52.00,24.00,2.00,6.00,12.20
Dunkin Holly Berry Sprinkles Donut,35.00,16.00,1.00,3.00,8.10
Dunkin Jelly Donut,32.00,14.00,1.00,3.00,7.30
Dunkin Jelly Stick,50.00,25.00,1.00,4.00,12.20
Dunkin Lemon Donut,29.00,15.00,1.00,3.00,7.20
Dunkin Lemon Stick,44.00,26.00,1.00,4.00,11.80
Dunkin Maple Creme Donut,36.00,19.00,1.00,3.00,9.00
Dunkin Maple Frosted Donut,32.00,15.00,1.00,3.00,7.60
Dunkin Maple Vanilla Creme Donut,43.00,20.00,1.00,3.00,10.00
Dunkin Old Fashioned Cake Donut,28.00,19.00,1.00,4.00,8.20
Dunkin Peanut Donut,48.00,26.00,2.00,7.00,12.40
Dunkin Powdered Stick,37.00,25.00,1.00,4.00,10.80
Dunkin Powdered Donut,33.00,19.00,1.00,4.00,8.80
Dunkin Pumpkin Donut,39.00,19.00,1.00,3.00,9.30
Dunkin Sour Cream Donut,42.00,17.00,1.00,4.00,9.30
Dunkin Spring Fling Donut,35.00,15.00,1.00,3.00,7.90
Dunkin Strawberry Frosted Donut,32.00,15.00,1.00,3.00,7.60
Dunkin Strawberry Frosted Sprinkles Donut,35.00,16.00,1.00,3.00,8.10
Dunkin Strawberry Long John,43.00,17.00,1.00,5.00,9.50
Dunkin Sugared Stick,34.00,25.00,1.00,4.00,10.40
Dunkin Taillight Donut,39.00,19.00,1.00,3.00,9.30
Dunkin Toasted Coconut Donut,47.00,24.00,2.00,4.00,11.50
Dunkin Vanilla Creme Donut,35.00,20.00,1.00,3.00,9.20
Dunkin Vanilla Frosted Donut,32.00,15.00,1.00,3.00,7.60
Dunkin Vanilla Headlight Donut,39.00,19.00,1.00,3.00,9.30
Dunkin Vanilla Long John,43.00,17.00,1.00,5.00,9.50
Dunkin Butternut Munchkin,12.00,4.00,0.00,1.00,2.40
Dunkin Cinnamon Munchkin,6.00,4.00,0.00,1.00,1.80
Dunkin Glazed Blueberry Munchkin,9.00,4.00,0.00,1.00,2.10
Dunkin Glazed Chocolate Munchkin,8.00,4.00,0.00,1.00,2.00
Dunkin Glazed Munchkin,7.00,4.00,0.00,1.00,1.90
Dunkin Glazed Old Fashioned Munchkin,9.00,4.00,0.00,1.00,2.10
Dunkin Jelly Munchkin,8.00,4.00,0.00,1.00,2.00
Dunkin Old Fashioned Munchkin,6.00,4.00,0.00,1.00,1.80
Dunkin Powdered Munchkin,7.00,4.00,0.00,1.00,1.90
Dunkin Chicken Bacon Sandwich,63.00,22.00,2.00,32.00,15.40
Dunkin Chicken Salad Croissant Sandwich,42.00,39.00,2.00,16.00,15.90
Dunkin Ham and Cheddar Sandwich,50.00,12.00,2.00,22.00,10.40
Dunkin Steak Snack n Go Wrap,15.00,11.00,1.00,12.00,5.50
Dunkin Chicken Snack n Go Wrap,20.00,19.00,1.00,17.00,8.60
Dunkin Texas Toast Grilled Cheese Plain,41.00,29.00,1.00,18.00,13.50
Dunkin Texas Toast Grilled Cheese with Ham,41.00,30.00,1.00,23.00,14.20
Dunkin Texas Toast Grilled Cheese with Bacon,41.00,34.00,1.00,22.00,15.20
Dunkin Tuna Salad Sandwich,68.00,25.00,4.00,22.00,15.60
Dunkin Turkey Sausage Flatbread Sandwich,32.00,28.00,4.00,26.00,12.80
