desc,carbs,fat,fiber,protein,pps
McDonald's Bacon Double Cheeseburger New York,36.00,26.00,2.00,30.00,13.20
McDonald's Triple Bacon Cheeseburger New York,37.00,32.00,2.00,38.00,15.60
McDonald's Bacon McDouble New York,34.00,22.00,2.00,28.00,11.80
McDonald's Quarter Pounder With Cheese New York,41.00,27.00,3.00,31.00,14.00
McDonald's Double Quarter Pounder With Cheese New York,42.00,45.00,3.00,51.00,20.60
McDonald's Signature Sriracha Burger on Artisan Roll,57.00,35.00,3.00,32.00,17.90
McDonald's Double Lone Star Stack Burger,60.00,53.00,3.00,61.00,25.60
McDonald's Lone Star Stack Burger,59.00,36.00,3.00,41.00,19.30
McDonald's Buffalo Bacon Burger on Artisan Roll,46.00,33.00,3.00,37.00,16.70
McDonald's Swiss Mushroom Melt Burger on Artisan Roll,47.00,33.00,3.00,36.00,16.70
McDonald's Bacon Quarter Pounder With Cheese,42.00,34.00,3.00,39.00,16.70
McDonald's Bacon Smokehouse Burger on Artisan Roll,62.00,45.00,2.00,46.00,22.40
McDonald's Double Bacon Smokehouse Burger on Artisan Roll (Fresh Beef),80.00,600.00,21.00,70.00,167.40
McDonald's Cheddar Bacon Onion Grilled Chicken Sandwich,50.00,26.00,4.00,53.00,16.70
McDonald's Premium Grilled Chicken Bacon Clubhouse Sandwich,50.00,26.00,4.00,48.00,16.30
McDonald's Double Filet-O-Fish,48.00,26.00,2.00,28.00,14.40
McDonald's Premium Buttermilk Crispy Chicken Bacon Clubhouse Sandwich,69.00,40.00,5.00,39.00,21.00
McDonald's McChicken,39.00,22.00,2.00,15.00,11.10
McDonald's Buffalo Ranch McChicken,40.00,16.00,2.00,15.00,9.70
McDonald's Bacon Buffalo Ranch McChicken,40.00,21.00,2.00,20.00,11.50
McDonald's Bacon Cheddar McChicken,41.00,32.00,2.00,24.00,14.80
McDonald's Southern Style Buttermilk Crispy Chicken Sandwich,48.00,20.00,3.00,25.00,12.50
McDonald's Filet-O-Fish,38.00,19.00,2.00,17.00,10.50
McDonald's Hot 'n Spicy McChicken,39.00,22.00,3.00,14.00,11.00
McDonald's Bacon Cheddar Hot 'n Spicy McChicken,41.00,32.00,3.00,24.00,14.70
McDonald's Chicken McNuggets (10 piece),26.00,27.00,2.00,24.00,11.80
McDonald's Ranch Snack Wrap (Buttermilk Crispy),34.00,20.00,2.00,16.00,10.20
McDonald's Chicken McNuggets (20 piece),53.00,53.00,4.00,49.00,23.60
McDonald's Chicken McNuggets (6 piece),16.00,16.00,1.00,15.00,7.20
McDonald's Chicken McNuggets (40 piece),105.00,107.00,7.00,98.00,47.50
McDonald's Premium Bacon Ranch Salad with Buttermilk Crispy Chicken,28.00,28.00,4.00,33.00,13.00
McDonald's Ranch Snack Wrap (Grilled),25.00,13.00,1.00,21.00,7.90
McDonald's Premium Bacon Ranch Salad with Grilled Chicken,9.00,14.00,3.00,42.00,8.20
McDonald's Premium Southwest Salad with Buttermilk Crispy Chicken,46.00,25.00,8.00,28.00,13.40
McDonald's Premium Southwest Salad with Grilled Chicken,27.00,11.00,6.00,37.00,8.70
McDonald's Chicken McNuggets (4 piece),11.00,11.00,1.00,10.00,4.90
McDonald's Artisan Grilled Chicken Sandwich,44.00,7.00,3.00,37.00,9.80
McDonald's Buttermilk Crispy Chicken Sandwich,63.00,29.00,4.00,28.00,16.60
McDonald's Veggie McWrap,63.00,19.00,8.00,15.00,12.50
McDonald's Chicken McNuggets (50 Piece),132.00,133.00,9.00,122.00,59.10
McDonald's Lobster Roll,35.00,5.00,2.00,24.00,7.20
McDonald's McChicken Deluxe,44.00,28.00,3.00,20.00,13.60
McDonald's Old Bay Double Filet-O-Fish Sandwich,49.00,25.00,3.00,29.00,14.20
McDonald's Old Bay Filet-O-Fish Sandwich,40.00,18.00,2.00,17.00,10.40
McDonald's Jalapeno McChicken,44.00,20.00,3.00,18.00,11.40
McDonald's Hot N' Spicy McChicken Deluxe,45.00,29.00,4.00,20.00,13.90
McDonald's McChicken Scratch Biscuit,49.00,22.00,3.00,15.00,12.20
McDonald's McGriddles Buttermilk Crispy Chicken,61.00,22.00,3.00,24.00,14.30
McDonald's Southern Style Chicken McGriddles,51.00,15.00,1.00,16.00,10.80
McDonald's Southern Style Chicken Biscuit Pressure Fried,46.00,22.00,2.00,15.00,11.90
McDonald's Buttermilk Crispy Chicken Biscuit,55.00,28.00,3.00,24.00,15.20
McDonald's Southern Style Chicken Scratch Biscuit Pressure Fried,49.00,23.00,2.00,15.00,12.50
McDonald's Hot N Spicy McChicken Scratch Biscuit,49.00,23.00,3.00,14.00,12.30
McDonald's Buttermilk Crispy Tenders 2 pc,13.00,13.00,0.00,20.00,6.60
McDonald's Buttermilk Crispy Tenders 4 pc,25.00,27.00,0.00,39.00,13.30
McDonald's Buttermilk Crispy Tenders 10 pc,63.00,67.00,1.00,98.00,33.10
McDonald's Signature Sriracha Buttermilk Crispy Chicken on Artisan Roll,75.00,36.00,5.00,34.00,20.20
McDonald's Signature Sriracha Artisan Grilled Chicken on Artisan Roll,56.00,22.00,3.00,43.00,15.50
McDonald's Buttermilk Crispy Tenders 6 pc,38.00,40.00,1.00,59.00,19.80
McDonald's Buttermilk Crispy Chicken Tenders (20 piece),126.00,135.00,2.00,195.00,66.30
McDonald's Buttermilk Crispy Chicken Tenders Pressure Fried (4 piece),22.00,24.00,0.00,42.00,12.50
McDonald's Buttermilk Crispy Chicken Tenders Pressure Fried (10 piece),56.00,60.00,1.00,105.00,31.20
McDonald's Buttermilk Crispy Chicken Tenders Pressure Fried (2 piece),11.00,12.00,0.00,21.00,6.20
McDonald's Buttermilk Crispy Chicken Tenders Pressure Fried (6 piece),34.00,36.00,1.00,63.00,18.70
McDonald's Buttermilk Crispy Chicken Tenders Pressure Fried (20 piece),112.00,121.00,2.00,210.00,62.60
McDonald's Buffalo Bacon Artisan Grilled Chicken on Artisan Roll,45.00,17.00,3.00,45.00,13.20
McDonald's Swiss Mushroom Melt Buttermilk Crispy Chicken on Artisan Roll,66.00,32.00,5.00,37.00,18.50
McDonald's Swiss Mushroom Melt Artisan Grilled on Artisan Roll,47.00,19.00,3.00,46.00,14.00
McDonald's Buffalo Bacon Buttermilk Crispy Chicken on Artisan Roll,64.00,31.00,4.00,36.00,18.00
McDonald's Classic Chicken Sandwich,49.00,24.00,3.00,25.00,13.60
McDonald's Ranch Snack Wrap Buttermilk Chicken Tender,31.00,19.00,1.00,16.00,9.70
McDonald's Bacon Smokehouse Buttermilk Crispy Chicken on Artisan Roll,81.00,45.00,4.00,46.00,24.40
McDonald's Bacon Smokehouse Artisan Grilled Chicken on Artisan Roll,62.00,31.00,2.00,55.00,19.70
McDonald's Fruit 'n Yogurt Parfait,30.00,2.00,1.00,4.00,4.10
McDonald's Steak & Egg Burrito,38.00,15.00,2.00,16.00,9.30
McDonald's Steak Egg & Cheese Bagel,54.00,31.00,4.00,32.00,16.50
